epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,876.543,2.15694,3.21876,2.09596,0.05178,0.16881,0.03407,0.00977,2.4382,4.05383,2.52869,0.000551611,0.000551611,0.000551611
2,1532.5,2.1517,2.9252,2.14674,0.19979,0.1578,0.09023,0.02607,2.3519,4.19566,2.5987,0.00105247,0.00105247,0.00105247
3,1961.3,2.18527,2.81137,2.13889,0.10897,0.17248,0.06149,0.01596,2.4648,4.03933,2.61582,0.00149831,0.00149831,0.00149831
4,2498.57,2.14192,2.73625,2.10897,0.1797,0.17615,0.09604,0.02611,2.47362,3.16013,2.52325,0.00141945,0.00141945,0.00141945
5,2963.61,2.16,2.64755,2.10895,0.15263,0.23486,0.10302,0.02985,2.3441,3.42193,2.5748,0.00133693,0.00133693,0.00133693
6,3439.7,2.10959,2.57686,2.07494,0.26081,0.22202,0.14891,0.04176,2.34803,3.22695,2.5192,0.00125442,0.00125442,0.00125442
7,3938.03,2.08133,2.47229,2.06133,0.2305,0.26239,0.14852,0.04619,2.34423,2.81218,2.42102,0.0011719,0.0011719,0.0011719
8,4451.89,2.04296,2.43029,2.02625,0.20221,0.26277,0.12344,0.03828,2.26376,2.74866,2.38095,0.00108938,0.00108938,0.00108938
9,4976.27,2.02382,2.34181,2.01282,0.3122,0.29725,0.2337,0.07198,2.22224,2.51141,2.35832,0.00100687,0.00100687,0.00100687
10,5596.68,1.98627,2.27107,1.95764,0.23945,0.28624,0.18312,0.05748,2.25835,2.64133,2.28794,0.000924352,0.000924352,0.000924352
11,6095.43,2.02607,2.2621,2.04592,0.31487,0.25505,0.22895,0.07468,2.17235,2.60389,2.33334,0.000841835,0.000841835,0.000841835
12,6773.5,2.02695,2.1756,2.14047,0.32603,0.27339,0.23859,0.08099,2.21134,2.47321,2.3672,0.000759318,0.000759318,0.000759318
13,7203.39,1.993,2.11455,2.09887,0.28166,0.32844,0.20667,0.07307,2.15365,2.4455,2.28254,0.000676802,0.000676802,0.000676802
14,7628.9,1.9487,2.04907,2.04976,0.35799,0.32661,0.25717,0.09237,2.15164,2.35485,2.27885,0.000594286,0.000594286,0.000594286
15,8050.45,1.94664,1.99141,2.02926,0.2991,0.31927,0.25137,0.09684,2.12018,2.40418,2.26886,0.000511769,0.000511769,0.000511769
16,8475.47,1.91876,1.93958,2.01752,0.35007,0.37248,0.28064,0.10656,2.1371,2.26314,2.24643,0.000429253,0.000429253,0.000429253
17,8911.3,1.87053,1.88903,1.96313,0.37212,0.37431,0.32976,0.11908,2.1323,2.26511,2.22635,0.000346736,0.000346736,0.000346736
18,9348.82,1.87331,1.83971,1.96693,0.3661,0.37301,0.3003,0.11501,2.12154,2.30427,2.29319,0.00026422,0.00026422,0.00026422
19,9660.69,1.84365,1.80542,1.97962,0.42886,0.36648,0.33853,0.12668,2.10566,2.21535,2.2683,0.000181703,0.000181703,0.000181703
20,9979.49,1.81226,1.76185,1.91576,0.36123,0.39633,0.32196,0.12345,2.10839,2.2014,2.24839,9.91865e-05,9.91865e-05,9.91865e-05
