epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,729.261,2.13316,3.41579,2.2052,0.06863,0.17431,0.04041,0.012,2.5856,4.44779,2.79483,0.000551611,0.000551611,0.000551611
2,1415.66,2.14849,3.15981,2.27852,0.09614,0.10826,0.04782,0.01258,2.54499,3.6763,2.73719,0.00107074,0.00107074,0.00107074
3,2146.17,2.11981,2.9999,2.27431,0.15981,0.19633,0.08822,0.02477,2.42551,4.00395,2.84098,0.00155319,0.00155319,0.00155319
4,2945.99,2.12098,2.86726,2.24388,0.20293,0.18899,0.10639,0.03023,2.35715,3.39782,2.6896,0.00150197,0.00150197,0.00150197
5,3642.58,2.1051,2.75992,2.2127,0.1593,0.06239,0.05505,0.0165,2.40586,3.43085,2.80041,0.00144696,0.00144696,0.00144696
6,4206.31,2.05503,2.73159,2.2145,0.17423,0.16697,0.09937,0.03002,2.31484,3.13232,2.72623,0.00139195,0.00139195,0.00139195
7,6937.82,2.04514,2.59954,2.19115,0.24941,0.2367,0.16589,0.04558,2.34593,3.20444,2.69203,0.00133693,0.00133693,0.00133693
8,8303.8,2.00148,2.53111,2.16432,0.21673,0.2055,0.13891,0.04148,2.34013,2.92784,2.63032,0.00128192,0.00128192,0.00128192
9,10063.2,1.97832,2.52148,2.13557,0.26811,0.18716,0.15121,0.04542,2.25,2.91314,2.55968,0.00122691,0.00122691,0.00122691
10,11083.4,1.99046,2.43688,2.1327,0.20424,0.25872,0.1508,0.04522,2.25085,2.89489,2.54673,0.0011719,0.0011719,0.0011719
11,11959.9,1.96124,2.43542,2.11995,0.26491,0.24037,0.17304,0.05232,2.23478,2.78562,2.6688,0.00111689,0.00111689,0.00111689
12,12630,1.95207,2.40095,2.08245,0.27245,0.21438,0.1563,0.04702,2.24328,2.79444,2.57526,0.00106188,0.00106188,0.00106188
13,13329.1,1.93683,2.33526,2.06811,0.2715,0.28257,0.21405,0.06985,2.19644,2.56266,2.53665,0.00100687,0.00100687,0.00100687
14,14631.7,1.95457,2.32583,2.09541,0.30663,0.27156,0.23132,0.07576,2.18314,2.62062,2.51626,0.000951857,0.000951857,0.000951857
15,35408.4,1.88501,2.26958,2.06079,0.2642,0.2055,0.16148,0.05604,2.20194,2.88041,2.59677,0.000896846,0.000896846,0.000896846
16,36226.1,1.88048,2.27705,2.0411,0.30862,0.26972,0.22124,0.07388,2.19223,2.58078,2.54699,0.000841835,0.000841835,0.000841835
17,36853.2,1.89642,2.21388,2.0528,0.33699,0.29725,0.25519,0.08559,2.14641,2.51098,2.45682,0.000786824,0.000786824,0.000786824
18,37563.5,1.86109,2.16732,2.03482,0.28477,0.35139,0.21678,0.07142,2.17434,2.5275,2.47763,0.000731813,0.000731813,0.000731813
19,38269.5,1.8488,2.15953,2.00147,0.40667,0.31927,0.27992,0.09732,2.12766,2.41912,2.37271,0.000676802,0.000676802,0.000676802
20,39078.3,1.8764,2.14387,2.01223,0.33525,0.34312,0.27983,0.09168,2.15317,2.45411,2.44056,0.000621791,0.000621791,0.000621791
21,39690.8,1.85422,2.06158,2.11444,0.35395,0.37064,0.26836,0.09481,2.08833,2.42414,2.38108,0.00056678,0.00056678,0.00056678
22,40349,1.86144,1.97633,2.11158,0.34265,0.36249,0.26983,0.08688,2.15823,2.46991,2.43033,0.000511769,0.000511769,0.000511769
23,41196.7,1.84194,1.98374,2.08889,0.38473,0.30749,0.29675,0.10143,2.11465,2.37702,2.38366,0.000456758,0.000456758,0.000456758
24,41938.4,1.78768,1.91275,2.0586,0.36998,0.37248,0.3169,0.11824,2.09951,2.29087,2.38005,0.000401747,0.000401747,0.000401747
25,42867.6,1.79201,1.88039,2.07302,0.37725,0.37793,0.32279,0.11328,2.10206,2.32038,2.41479,0.000346736,0.000346736,0.000346736
26,43770.4,1.77792,1.83253,2.05634,0.40841,0.40367,0.3421,0.12042,2.08179,2.25983,2.3628,0.000291725,0.000291725,0.000291725
27,44567.7,1.75391,1.80837,2.03644,0.42202,0.38716,0.3473,0.12066,2.11667,2.28276,2.39966,0.000236714,0.000236714,0.000236714
28,45374.6,1.74878,1.75801,1.99881,0.45387,0.4055,0.38856,0.14462,2.08802,2.19314,2.33236,0.000181703,0.000181703,0.000181703
29,46110.3,1.75285,1.73381,2.01031,0.45034,0.39083,0.36487,0.13325,2.09826,2.24242,2.38525,0.000126692,0.000126692,0.000126692
30,47029.7,1.71199,1.73197,1.99224,0.47639,0.42018,0.38805,0.14104,2.10323,2.20102,2.3796,7.1681e-05,7.1681e-05,7.1681e-05
